page,locale,url,title,description,og:title,og:description,og:image,og:type,og:url,twitter:card,twitter:title,twitter:description,twitter:image
/transparency,en,https://climatehub.org/transparency,Transparency | ClimateHub Network,,Transparency | ClimateHub Network,,https://climatehub.org/images/landing_image_small.jpg,website,,,Transparency | ClimateHub Network,,
/transparency,de,https://climatehub.org/de/transparency,Transparenz | ClimateHub Netzwerk,Hier findet ihr 10 Transparenzinformationen zu Climate Connect.,Transparenz,,https://climatehub.org/images/landing_image_small.jpg,website,,,,,
/verein,en,https://climatehub.org/verein,Association | ClimateHub Network,Der Climate Connect Deutschland e.V. unterstützt und fördert unsere Online Plattform climatehub.org welche von der Climate Connect gGmbH betrieben wird. Dies geschieht sowohl finanziell durch (Förder-) Mitgliedschaften als auch durch ehrenamtliche Arbeit. In den Städten mit ClimateHubs möchten wir die Arbeit der lokalen Klimavernetzer*innen mit ehrenamtlichen Ortsgruppen unterstützen.,Climate Connect Deutschland e.V.,Der Climate Connect Deutschland e.V. unterstützt und fördert unsere Online Plattform climatehub.org welche von der Climate Connect gGmbH betrieben wird. Dies geschieht sowohl finanziell durch (Förder-) Mitgliedschaften als auch durch ehrenamtliche Arbeit. In den Städten mit ClimateHubs möchten wir die Arbeit der lokalen Klimavernetzer*innen mit ehrenamtlichen Ortsgruppen unterstützen.,https://climatehub.org/images/landing_image_small.jpg,website,,summary_large_image,Climate Connect Deutschland e.V.,Der Climate Connect Deutschland e.V. unterstützt und fördert unsere Online Plattform climatehub.org welche von der Climate Connect gGmbH betrieben wird. Dies geschieht sowohl finanziell durch (Förder-) Mitgliedschaften als auch durch ehrenamtliche Arbeit. In den Städten mit ClimateHubs möchten wir die Arbeit der lokalen Klimavernetzer*innen mit ehrenamtlichen Ortsgruppen unterstützen.,
/verein,de,https://climatehub.org/de/verein,Verein | ClimateHub Netzwerk,Der Climate Connect Deutschland e.V. unterstützt und fördert unsere Online Plattform climatehub.org welche von der Climate Connect gGmbH betrieben wird. Dies geschieht sowohl finanziell durch (Förder-) Mitgliedschaften als auch durch ehrenamtliche Arbeit. In den Städten mit ClimateHubs möchten wir die Arbeit der lokalen Klimavernetzer*innen mit ehrenamtlichen Ortsgruppen unterstützen.,Climate Connect Deutschland e.V.,Der Climate Connect Deutschland e.V. unterstützt und fördert unsere Online Plattform climatehub.org welche von der Climate Connect gGmbH betrieben wird. Dies geschieht sowohl finanziell durch (Förder-) Mitgliedschaften als auch durch ehrenamtliche Arbeit. In den Städten mit ClimateHubs möchten wir die Arbeit der lokalen Klimavernetzer*innen mit ehrenamtlichen Ortsgruppen unterstützen.,https://climatehub.org/images/landing_image_small.jpg,website,,summary_large_image,Climate Connect Deutschland e.V.,Der Climate Connect Deutschland e.V. unterstützt und fördert unsere Online Plattform climatehub.org welche von der Climate Connect gGmbH betrieben wird. Dies geschieht sowohl finanziell durch (Förder-) Mitgliedschaften als auch durch ehrenamtliche Arbeit. In den Städten mit ClimateHubs möchten wir die Arbeit der lokalen Klimavernetzer*innen mit ehrenamtlichen Ortsgruppen unterstützen.,
/zoom,en,https://climatehub.org/zoom,,,,,,,,,,,
/zoom,de,https://climatehub.org/de/zoom,,,,,,,,,,,
/hubs/erlangen,en,https://climatehub.org/hubs/erlangen,ClimateHub Erlangen | Citizen Climate Action in Erlangen | ClimateHub Network,Find projects and initiatives from Erlangen to get involved and make a difference. The ClimateHub is your starting point to find your group to make an impact.,ClimateHub Erlangen | Citizen Climate Action in Erlangen,,https://climatehub.org/images/landing_image_small.jpg,website,,,,,
/hubs/erlangen,de,https://climatehub.org/de/hubs/erlangen,ClimateHub Erlangen | Dein Startpunkt für Klimaschutz-Engagement in Erlangen | ClimateHub Netzwerk,"Finde Mitstreiter:innen, um in Erlangen gemeinsam für den Klimaschutz anzupacken und etwas für eine nachhaltige Zukunft zu bewirken.",ClimateHub Erlangen | Dein Startpunkt für Klimaschutz-Engagement in Erlangen,,https://climatehub.org/images/landing_image_small.jpg,website,,,,,
/hubs/erlangen/browse,en,https://climatehub.org/hubs/erlangen/browse,Climate action in Erlangen | ClimateHub Network,,Climate action in Erlangen,,https://climateprodstorage.blob.core.windows.net/climate-connect/hubs/7/rsz_flug_20170602_sip_8733.jpg,website,,,,,
/hubs/erlangen/browse,de,https://climatehub.org/de/hubs/erlangen/browse,ClimateHub Erlangen | ClimateHub Netzwerk,,ClimateHub Erlangen,,https://climateprodstorage.blob.core.windows.net/climate-connect/hubs/7/rsz_flug_20170602_sip_8733.jpg,website,,,,,
/hubs/erlangen/members,en,https://climatehub.org/hubs/erlangen/members,Climate action in Erlangen | ClimateHub Network,,Climate action in Erlangen,,https://climateprodstorage.blob.core.windows.net/climate-connect/hubs/7/rsz_flug_20170602_sip_8733.jpg,website,,,,,
/hubs/erlangen/members,de,https://climatehub.org/de/hubs/erlangen/members,ClimateHub Erlangen | ClimateHub Netzwerk,,ClimateHub Erlangen,,https://climateprodstorage.blob.core.windows.net/climate-connect/hubs/7/rsz_flug_20170602_sip_8733.jpg,website,,,,,
/hubs/erlangen/organizations,en,https://climatehub.org/hubs/erlangen/organizations,Climate action in Erlangen | ClimateHub Network,,Climate action in Erlangen,,https://climateprodstorage.blob.core.windows.net/climate-connect/hubs/7/rsz_flug_20170602_sip_8733.jpg,website,,,,,
/hubs/erlangen/organizations,de,https://climatehub.org/de/hubs/erlangen/organizations,ClimateHub Erlangen | ClimateHub Netzwerk,,ClimateHub Erlangen,,https://climateprodstorage.blob.core.windows.net/climate-connect/hubs/7/rsz_flug_20170602_sip_8733.jpg,website,,,,,
/hubs/em,en,https://climatehub.org/hubs/em,ClimateHub Landkreis Emmendingen | Citizen Climate Action in Landkreis Emmendingen | ClimateHub Network,Find projects and initiatives from Erlangen to get involved and make a difference. The ClimateHub is your starting point to find your group to make an impact.,ClimateHub Landkreis Emmendingen | Citizen Climate Action in Landkreis Emmendingen,,https://climatehub.org/images/landing_image_small.jpg,website,,,,,
/hubs/em,de,https://climatehub.org/de/hubs/em,ClimateHub Landkreis Emmendingen | Dein Startpunkt für Klimaschutz-Engagement in Landkreis Emmendingen | ClimateHub Netzwerk,"Finde Mitstreiter:innen, um in Erlangen gemeinsam für den Klimaschutz anzupacken und etwas für eine nachhaltige Zukunft zu bewirken.",ClimateHub Landkreis Emmendingen | Dein Startpunkt für Klimaschutz-Engagement in Landkreis Emmendingen,,https://climatehub.org/images/landing_image_small.jpg,website,,,,,
/hubs/em/browse,en,https://climatehub.org/hubs/em/browse,ClimateHub Landkreis Emmendingen | ClimateHub Network,,ClimateHub Landkreis Emmendingen,,https://climateprodstorage.blob.core.windows.net/climate-connect/hubs/16/lk_em_background.jpg,website,,,,,
/hubs/em/browse,de,https://climatehub.org/de/hubs/em/browse,ClimateHub Landkreis Emmendingen | ClimateHub Netzwerk,,ClimateHub Landkreis Emmendingen,,https://climateprodstorage.blob.core.windows.net/climate-connect/hubs/16/lk_em_background.jpg,website,,,,,
/hubs/em/members,en,https://climatehub.org/hubs/em/members,ClimateHub Landkreis Emmendingen | ClimateHub Network,,ClimateHub Landkreis Emmendingen,,https://climateprodstorage.blob.core.windows.net/climate-connect/hubs/16/lk_em_background.jpg,website,,,,,
/hubs/em/members,de,https://climatehub.org/de/hubs/em/members,ClimateHub Landkreis Emmendingen | ClimateHub Netzwerk,,ClimateHub Landkreis Emmendingen,,https://climateprodstorage.blob.core.windows.net/climate-connect/hubs/16/lk_em_background.jpg,website,,,,,
/hubs/em/organizations,en,https://climatehub.org/hubs/em/organizations,ClimateHub Landkreis Emmendingen | ClimateHub Network,,ClimateHub Landkreis Emmendingen,,https://climateprodstorage.blob.core.windows.net/climate-connect/hubs/16/lk_em_background.jpg,website,,,,,
/hubs/em/organizations,de,https://climatehub.org/de/hubs/em/organizations,ClimateHub Landkreis Emmendingen | ClimateHub Netzwerk,,ClimateHub Landkreis Emmendingen,,https://climateprodstorage.blob.core.windows.net/climate-connect/hubs/16/lk_em_background.jpg,website,,,,,
